EmpID,Age,AgeGroup,BusinessTravel,Department,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Over18,RelationshipSatisfaction,StandardHours,WorkLifeBalance
RM363,21,18-25,Non-Travel,Sales,2,Medical,1,484,1,Male,3,1,Sales Representative,4,Single,Y,3,80,2
RM371,21,18-25,Travel_Rarely,Sales,3,Life Sciences,1,494,3,Female,4,1,Sales Representative,2,Single,Y,4,80,3
RM497,21,18-25,Travel_Rarely,Sales,1,Technical Degree,1,669,3,Male,3,1,Sales Representative,3,Single,Y,3,80,3
RM664,21,18-25,Travel_Rarely,Research & Development,1,Other,1,923,4,Female,3,1,Research Scientist,4,Single,Y,1,80,2
RM778,21,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,1079,3,Female,2,1,Laboratory Technician,1,Single,Y,1,80,2
RM816,21,18-25,Travel_Rarely,Research & Development,1,Technical Degree,1,1131,4,Female,2,1,Research Scientist,2,Single,Y,3,80,4
RM916,21,18-25,Travel_Frequently,Research & Development,2,Life Sciences,1,1279,1,Female,2,1,Laboratory Technician,3,Single,Y,3,80,1
RM1153,21,18-25,Travel_Rarely,Research & Development,1,Medical,1,1623,3,Male,3,1,Research Scientist,4,Single,Y,3,80,3
RM1272,21,18-25,Travel_Rarely,Sales,1,Marketing,1,1780,2,Male,3,1,Sales Representative,2,Single,Y,2,80,3
RM1437,21,18-25,Travel_Rarely,Sales,1,Medical,1,2021,3,Male,3,1,Sales Representative,1,Single,Y,4,80,3
RM018,22,18-25,Non-Travel,Research & Development,2,Medical,1,22,4,Male,4,1,Laboratory Technician,4,Divorced,Y,2,80,2
RM110,22,18-25,Travel_Rarely,Research & Development,3,Medical,1,144,2,Female,3,1,Laboratory Technician,4,Single,Y,3,80,3
RM129,22,18-25,Travel_Rarely,Research & Development,1,Technical Degree,1,169,3,Male,3,1,Laboratory Technician,4,Married,Y,3,80,3
RM161,22,18-25,Travel_Rarely,Research & Development,1,Medical,1,217,3,Male,3,1,Research Scientist,4,Married,Y,1,80,3
RM207,22,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,284,4,Male,4,1,Research Scientist,2,Divorced,Y,1,80,2
RM384,22,18-25,Travel_Rarely,Research & Development,3,Medical,1,511,1,Female,3,1,Research Scientist,2,Married,Y,4,80,3
RM444,22,18-25,Travel_Frequently,Research & Development,1,Technical Degree,1,593,3,Male,2,1,Laboratory Technician,3,Single,Y,3,80,3
RM499,22,18-25,Travel_Rarely,Research & Development,1,Medical,1,675,1,Male,3,1,Research Scientist,3,Married,Y,4,80,3
RM631,22,18-25,Travel_Rarely,Research & Development,2,Life Sciences,1,872,4,Male,2,2,Manufacturing Director,4,Married,Y,1,80,1
RM667,22,18-25,Travel_Rarely,Research & Development,1,Life Sciences,1,926,2,Female,3,2,Manufacturing Director,3,Married,Y,1,80,4
RM735,22,18-25,Travel_Rarely,Research & Development,1,Life Sciences,1,1019,2,Male,1,1,Laboratory Technician,1,Married,Y,1,80,2
RM861,22,18-25,Travel_Frequently,Research & Development,4,Life Sciences,1,1203,3,Male,2,1,Research Scientist,4,Married,Y,2,80,3
RM1138,22,18-25,Non-Travel,Research & Development,2,Other,1,1605,2,Female,2,1,Research Scientist,3,Married,Y,2,80,2
RM1274,22,18-25,Travel_Rarely,Research & Development,1,Medical,1,1783,3,Female,3,1,Laboratory Technician,1,Married,Y,3,80,3
RM1340,22,18-25,Travel_Rarely,Research & Development,1,Life Sciences,1,1878,4,Male,3,1,Research Scientist,2,Single,Y,1,80,3
RM1424,22,18-25,Travel_Rarely,Research & Development,2,Life Sciences,1,2007,4,Male,3,1,Research Scientist,3,Single,Y,4,80,4
RM087,23,18-25,Travel_Rarely,Sales,1,Technical Degree,1,113,3,Male,3,1,Sales Representative,1,Divorced,Y,3,80,3
RM346,23,18-25,Travel_Rarely,Research & Development,1,Life Sciences,1,465,3,Male,3,1,Research Scientist,4,Divorced,Y,3,80,2
RM517,23,18-25,Travel_Rarely,Research & Development,3,Medical,1,705,1,Male,4,1,Research Scientist,1,Married,Y,1,80,4
RM551,23,18-25,Travel_Rarely,Research & Development,1,Medical,1,758,2,Male,3,1,Laboratory Technician,1,Married,Y,4,80,4
RM566,23,18-25,Travel_Rarely,Research & Development,1,Medical,1,784,1,Male,4,1,Research Scientist,3,Single,Y,4,80,3
RM586,23,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,811,3,Male,4,1,Laboratory Technician,1,Married,Y,3,80,3
RM911,23,18-25,Travel_Rarely,Research & Development,2,Life Sciences,1,1270,4,Male,3,1,Research Scientist,3,Married,Y,4,80,3
RM1083,23,18-25,Travel_Rarely,Research & Development,1,Life Sciences,1,1533,1,Male,3,2,Laboratory Technician,3,Single,Y,2,80,3
RM1128,23,18-25,Travel_Rarely,Research & Development,3,Technical Degree,1,1592,4,Male,4,1,Research Scientist,3,Married,Y,4,80,3
RM1202,23,18-25,Travel_Rarely,Research & Development,1,Medical,1,1684,4,Male,2,1,Laboratory Technician,3,Single,Y,1,80,3
RM1214,23,18-25,Travel_Rarely,Sales,3,Life Sciences,1,1702,3,Male,3,1,Sales Representative,4,Divorced,Y,2,80,3
RM1239,23,18-25,Travel_Rarely,Research & Development,1,Medical,1,1735,3,Female,3,1,Laboratory Technician,2,Single,Y,3,80,1
RM1409,23,18-25,Travel_Rarely,Research & Development,2,Other,1,1982,4,Male,3,1,Laboratory Technician,4,Single,Y,3,80,4
RM1439,23,18-25,Travel_Frequently,Sales,3,Marketing,1,2023,4,Male,3,1,Sales Representative,1,Married,Y,1,80,2
RM021,24,18-25,Non-Travel,Research & Development,2,Other,1,26,1,Female,4,2,Manufacturing Director,3,Divorced,Y,4,80,2
RM035,24,18-25,Travel_Rarely,Research & Development,3,Medical,1,45,2,Male,3,1,Research Scientist,4,Married,Y,1,80,2
RM097,24,18-25,Travel_Rarely,Sales,2,Other,1,128,1,Female,3,2,Sales Executive,3,Married,Y,1,80,2
RM114,24,18-25,Travel_Rarely,Research & Development,1,Life Sciences,1,150,2,Male,3,1,Laboratory Technician,3,Married,Y,3,80,3
RM381,24,18-25,Travel_Rarely,Sales,4,Marketing,1,507,4,Female,3,2,Sales Executive,3,Divorced,Y,4,80,4
RM415,24,18-25,Travel_Rarely,Sales,1,Technical Degree,1,554,1,Female,3,1,Sales Representative,2,Single,Y,2,80,3
RM471,24,18-25,Travel_Frequently,Sales,3,Medical,1,632,4,Male,3,1,Sales Representative,4,Married,Y,3,80,3
RM475,24,18-25,Travel_Rarely,Research & Development,3,Medical,1,639,2,Male,4,1,Research Scientist,4,Married,Y,2,80,3
RM477,24,18-25,Travel_Rarely,Research & Development,2,Other,1,643,4,Male,2,1,Laboratory Technician,2,Married,Y,4,80,3
RM480,24,18-25,Travel_Frequently,Research & Development,3,Life Sciences,1,647,1,Female,3,1,Laboratory Technician,3,Married,Y,4,80,3
RM526,24,18-25,Travel_Rarely,Sales,2,Life Sciences,1,720,1,Female,3,2,Sales Executive,3,Single,Y,1,80,3
RM587,24,18-25,Non-Travel,Research & Development,3,Life Sciences,1,812,3,Male,2,1,Laboratory Technician,2,Divorced,Y,3,80,3
RM641,24,18-25,Non-Travel,Research & Development,1,Life Sciences,1,888,1,Male,2,1,Laboratory Technician,4,Married,Y,4,80,2
RM725,24,18-25,Travel_Rarely,Research & Development,1,Medical,1,1009,4,Female,2,2,Manufacturing Director,3,Divorced,Y,2,80,3
RM842,24,18-25,Travel_Rarely,Research & Development,3,Medical,1,1173,4,Male,3,1,Laboratory Technician,2,Single,Y,4,80,3
RM872,24,18-25,Travel_Rarely,Research & Development,2,Life Sciences,1,1219,4,Female,3,1,Laboratory Technician,2,Married,Y,1,80,1
RM1026,24,18-25,Travel_Rarely,Sales,1,Medical,1,1445,4,Female,3,2,Sales Executive,3,Married,Y,3,80,3
RM1061,24,18-25,Travel_Frequently,Research & Development,3,Medical,1,1494,2,Male,3,1,Laboratory Technician,1,Single,Y,3,80,2
RM1062,24,18-25,Non-Travel,Sales,2,Life Sciences,1,1495,4,Female,3,1,Sales Representative,2,Married,Y,3,80,3
RM1098,24,18-25,Travel_Rarely,Research & Development,2,Technical Degree,1,1551,3,Male,2,1,Laboratory Technician,1,Divorced,Y,2,80,3
RM1169,24,18-25,Travel_Frequently,Research & Development,1,Technical Degree,1,1646,1,Female,3,1,Research Scientist,4,Single,Y,3,80,3
RM1218,24,18-25,Travel_Rarely,Research & Development,3,Medical,1,1707,3,Male,4,1,Research Scientist,3,Married,Y,4,80,3
RM1223,24,18-25,Travel_Rarely,Human Resources,1,Human Resources,1,1714,4,Male,1,1,Human Resources,3,Married,Y,3,80,3
RM1231,24,18-25,Travel_Rarely,Research & Development,1,Medical,1,1725,2,Male,3,1,Laboratory Technician,1,Divorced,Y,2,80,4
RM1246,24,18-25,Travel_Frequently,Human Resources,3,Medical,1,1746,1,Male,3,1,Human Resources,4,Married,Y,4,80,3
RM1408,24,18-25,Travel_Rarely,Research & Development,2,Life Sciences,1,1981,2,Male,2,2,Healthcare Representative,3,Single,Y,2,80,2
RM108,25,18-25,Travel_Rarely,Sales,3,Marketing,1,142,3,Male,2,2,Sales Executive,3,Single,Y,4,80,3
RM109,25,18-25,Travel_Rarely,Research & Development,1,Medical,1,143,4,Male,2,1,Research Scientist,4,Married,Y,3,80,3
RM139,25,18-25,Travel_Rarely,Sales,3,Life Sciences,1,183,1,Male,2,2,Sales Executive,3,Married,Y,4,80,3
RM256,25,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,350,1,Female,3,2,Manufacturing Director,3,Married,Y,4,80,3
RM268,25,18-25,Non-Travel,Research & Development,2,Life Sciences,1,369,2,Male,4,2,Healthcare Representative,1,Divorced,Y,4,80,3
RM398,25,18-25,Travel_Rarely,Sales,2,Life Sciences,1,527,2,Female,2,2,Sales Executive,4,Single,Y,2,80,3
RM406,25,18-25,Travel_Rarely,Research & Development,3,Medical,1,538,1,Male,3,1,Laboratory Technician,1,Married,Y,3,80,3
RM479,25,18-25,Travel_Rarely,Sales,1,Medical,1,645,2,Male,3,1,Sales Representative,3,Married,Y,3,80,3
RM518,25,18-25,Travel_Rarely,Sales,3,Life Sciences,1,707,4,Male,4,2,Sales Executive,2,Married,Y,3,80,3
RM564,25,18-25,Travel_Rarely,Sales,1,Medical,1,781,3,Female,3,2,Sales Executive,4,Single,Y,2,80,2
RM619,25,18-25,Travel_Rarely,Research & Development,1,Medical,1,854,1,Male,4,1,Research Scientist,1,Single,Y,3,80,2
RM635,25,18-25,Travel_Rarely,Sales,1,Other,1,879,3,Male,3,2,Sales Executive,1,Married,Y,4,80,3
RM639,25,18-25,Travel_Rarely,Sales,1,Marketing,1,885,3,Male,2,2,Sales Executive,1,Married,Y,1,80,4
RM684,25,18-25,Travel_Rarely,Sales,2,Marketing,1,952,3,Male,2,1,Sales Representative,2,Married,Y,3,80,3
RM797,25,18-25,Travel_Rarely,Research & Development,1,Technical Degree,1,1106,4,Male,3,1,Laboratory Technician,4,Married,Y,2,80,4
RM886,25,18-25,Travel_Rarely,Sales,4,Life Sciences,1,1240,3,Male,3,2,Sales Executive,4,Single,Y,2,80,3
RM912,25,18-25,Travel_Frequently,Sales,1,Life Sciences,1,1273,3,Male,1,1,Sales Representative,4,Single,Y,4,80,3
RM935,25,18-25,Travel_Rarely,Research & Development,3,Medical,1,1303,4,Female,3,1,Research Scientist,2,Single,Y,4,80,2
RM966,25,18-25,Travel_Rarely,Research & Development,1,Medical,1,1358,4,Male,3,1,Laboratory Technician,4,Married,Y,3,80,2
RM994,25,18-25,Travel_Rarely,Sales,1,Life Sciences,1,1399,1,Male,4,2,Sales Executive,3,Married,Y,2,80,2
RM1004,25,18-25,Travel_Rarely,Research & Development,3,Technical Degree,1,1415,1,Male,3,1,Laboratory Technician,4,Married,Y,2,80,2
RM1022,25,18-25,Travel_Rarely,Sales,2,Life Sciences,1,1439,1,Male,2,1,Sales Representative,1,Married,Y,1,80,3
RM1175,25,18-25,Travel_Frequently,Research & Development,1,Life Sciences,1,1653,4,Male,4,2,Manufacturing Director,3,Divorced,Y,3,80,3
RM1412,25,18-25,Travel_Rarely,Human Resources,3,Human Resources,1,1987,3,Female,3,1,Human Resources,2,Married,Y,3,80,3
RM1414,25,18-25,Travel_Rarely,Research & Development,1,Other,1,1992,4,Male,3,1,Laboratory Technician,3,Divorced,Y,3,80,2
RM1434,25,18-25,Travel_Rarely,Sales,2,Other,1,2018,1,Female,3,2,Sales Executive,3,Divorced,Y,2,80,2
RM043,26,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,55,1,Male,1,1,Laboratory Technician,3,Single,Y,3,80,2
RM055,26,26-35,Travel_Rarely,Sales,3,Marketing,1,72,3,Female,2,2,Sales Executive,4,Married,Y,3,80,2
RM126,26,26-35,Travel_Rarely,Research & Development,3,Other,1,164,3,Female,2,1,Research Scientist,2,Married,Y,3,80,2
RM135,26,26-35,Travel_Rarely,Human Resources,1,Life Sciences,1,177,3,Female,3,1,Human Resources,3,Married,Y,4,80,3
RM279,26,26-35,Travel_Frequently,Research & Development,3,Life Sciences,1,384,3,Female,3,2,Manufacturing Director,2,Divorced,Y,1,80,1
RM285,26,26-35,Travel_Frequently,Research & Development,2,Medical,1,390,1,Male,3,2,Healthcare Representative,1,Married,Y,3,80,3
RM289,26,26-35,Travel_Rarely,Research & Development,4,Medical,1,394,1,Male,3,1,Laboratory Technician,2,Divorced,Y,4,80,3
RM294,26,26-35,Travel_Rarely,Sales,4,Marketing,1,401,4,Male,2,2,Sales Executive,4,Single,Y,2,80,3
RM356,26,26-35,Travel_Rarely,Sales,3,Life Sciences,1,476,3,Male,3,2,Sales Executive,3,Married,Y,2,80,3
RM383,26,26-35,Travel_Frequently,Research & Development,1,Technical Degree,1,510,3,Male,3,1,Research Scientist,1,Single,Y,3,80,3
RM419,26,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,560,1,Female,3,1,Research Scientist,4,Divorced,Y,2,80,1
RM454,26,26-35,Travel_Frequently,Human Resources,4,Life Sciences,1,608,2,Female,3,1,Human Resources,3,Divorced,Y,2,80,2
RM461,26,26-35,Travel_Rarely,Sales,2,Medical,1,618,1,Male,3,2,Sales Executive,3,Divorced,Y,1,80,3
RM464,26,26-35,Travel_Rarely,Research & Development,3,Technical Degree,1,622,3,Male,1,1,Laboratory Technician,4,Single,Y,2,80,1
RM476,26,26-35,Travel_Rarely,Sales,2,Marketing,1,641,1,Male,3,2,Sales Executive,2,Married,Y,4,80,4
RM506,26,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,686,3,Female,3,1,Laboratory Technician,4,Married,Y,3,80,3
RM572,26,26-35,Travel_Frequently,Research & Development,2,Life Sciences,1,792,1,Female,1,1,Laboratory Technician,4,Divorced,Y,1,80,3
RM574,26,26-35,Travel_Rarely,Sales,3,Technical Degree,1,796,4,Male,2,2,Sales Executive,1,Single,Y,3,80,2
RM615,26,26-35,Travel_Frequently,Research & Development,2,Medical,1,848,3,Female,2,1,Research Scientist,3,Married,Y,1,80,3
RM686,26,26-35,Travel_Frequently,Sales,3,Medical,1,956,3,Male,2,2,Sales Executive,1,Single,Y,2,80,3
RM734,26,26-35,Travel_Rarely,Research & Development,2,Medical,1,1018,4,Male,4,2,Manufacturing Director,4,Married,Y,2,80,3
RM749,26,26-35,Non-Travel,Sales,2,Medical,1,1037,2,Male,1,2,Sales Executive,1,Single,Y,4,80,3
RM763,26,26-35,Travel_Frequently,Research & Development,3,Life Sciences,1,1053,1,Male,3,1,Research Scientist,1,Married,Y,2,80,3
RM770,26,26-35,Travel_Frequently,Research & Development,1,Medical,1,1068,1,Female,2,1,Research Scientist,3,Divorced,Y,3,80,3
RM782,26,26-35,Travel_Rarely,Research & Development,2,Medical,1,1083,1,Male,2,1,Laboratory Technician,1,Married,Y,1,80,3
RM798,26,26-35,Travel_Rarely,Research & Development,3,Medical,1,1107,1,Male,3,1,Laboratory Technician,3,Divorced,Y,3,80,2
RM844,26,26-35,Travel_Rarely,Research & Development,4,Medical,1,1177,1,Male,4,1,Laboratory Technician,4,Married,Y,2,80,3
RM913,26,26-35,Travel_Rarely,Research & Development,2,Life Sciences,1,1275,3,Male,3,1,Research Scientist,4,Single,Y,2,80,2
RM999,26,26-35,Travel_Rarely,Research & Development,1,Medical,1,1407,1,Male,2,1,Research Scientist,4,Single,Y,4,80,3
RM1005,26,26-35,Travel_Rarely,Research & Development,3,Other,1,1417,3,Male,4,1,Laboratory Technician,1,Single,Y,4,80,3
RM1119,26,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,1581,1,Female,3,1,Research Scientist,4,Married,Y,1,80,3
RM1207,26,26-35,Non-Travel,Research & Development,3,Medical,1,1693,4,Male,3,1,Laboratory Technician,4,Single,Y,3,80,3
RM1225,26,26-35,Travel_Rarely,Research & Development,4,Medical,1,1718,4,Male,1,1,Laboratory Technician,3,Married,Y,3,80,4
RM1298,26,26-35,Travel_Rarely,Human Resources,2,Medical,1,1818,4,Female,3,1,Human Resources,2,Married,Y,3,80,3
RM1310,26,26-35,Travel_Rarely,Sales,3,Medical,1,1836,3,Male,3,2,Sales Executive,4,Single,Y,1,80,3
RM1350,26,26-35,Travel_Rarely,Research & Development,2,Life Sciences,1,1893,2,Female,2,1,Research Scientist,3,Married,Y,3,80,2
RM1362,26,26-35,Travel_Frequently,Research & Development,3,Other,1,1918,3,Male,4,1,Laboratory Technician,4,Married,Y,1,80,3
RM1387,26,26-35,Travel_Rarely,Research & Development,3,Medical,1,1952,3,Male,3,1,Laboratory Technician,1,Single,Y,4,80,2
RM1465,26,26-35,Travel_Rarely,Sales,3,Other,1,2060,4,Female,2,1,Sales Representative,3,Single,Y,4,80,3
RM1465,26,26-35,Travel_Rarely,Sales,3,Other,1,2060,4,Female,2,1,Sales Representative,3,Single,Y,4,80,3
RM005,27,26-35,Travel_Rarely,Research & Development,1,Medical,1,7,1,Male,3,1,Laboratory Technician,2,Married,Y,4,80,3
RM042,27,26-35,Travel_Rarely,Research & Development,4,Life Sciences,1,54,4,Female,3,1,Laboratory Technician,1,Divorced,Y,4,80,3
RM044,27,26-35,Travel_Frequently,Sales,3,Life Sciences,1,56,4,Male,3,3,Sales Executive,3,Single,Y,4,80,3
RM162,27,26-35,Non-Travel,Research & Development,3,Medical,1,218,4,Male,3,1,Research Scientist,2,Divorced,Y,4,80,1
RM165,27,26-35,Non-Travel,Research & Development,3,Medical,1,224,3,Male,2,1,Research Scientist,3,Divorced,Y,4,80,2
RM171,27,26-35,Travel_Rarely,Research & Development,3,Technical Degree,1,233,3,Male,3,1,Research Scientist,2,Married,Y,4,80,2
RM192,27,26-35,Travel_Rarely,Research & Development,3,Medical,1,260,4,Female,3,1,Research Scientist,2,Single,Y,4,80,2
RM201,27,26-35,Travel_Frequently,Research & Development,1,Technical Degree,1,274,3,Male,2,2,Manufacturing Director,1,Married,Y,3,80,3
RM213,27,26-35,Travel_Frequently,Sales,3,Life Sciences,1,293,4,Female,3,2,Sales Executive,3,Single,Y,4,80,3
RM319,27,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,434,3,Female,3,1,Research Scientist,2,Single,Y,2,80,2
RM321,27,26-35,Travel_Rarely,Sales,3,Life Sciences,1,437,4,Male,3,2,Sales Executive,3,Single,Y,1,80,3
RM332,27,26-35,Non-Travel,Sales,1,Marketing,1,449,3,Male,3,2,Sales Executive,2,Married,Y,4,80,3
RM340,27,26-35,Travel_Rarely,Sales,4,Marketing,1,458,2,Female,3,2,Sales Executive,2,Married,Y,1,80,3
RM374,27,26-35,Travel_Rarely,Research & Development,2,Medical,1,497,4,Male,3,1,Laboratory Technician,2,Divorced,Y,2,80,3
RM486,27,26-35,Travel_Rarely,Research & Development,4,Medical,1,655,1,Female,2,1,Research Scientist,3,Divorced,Y,3,80,2
RM496,27,26-35,Travel_Rarely,Sales,1,Marketing,1,667,3,Male,3,1,Sales Representative,1,Divorced,Y,2,80,3
RM513,27,26-35,Travel_Rarely,Research & Development,4,Medical,1,700,1,Male,2,1,Research Scientist,4,Single,Y,4,80,3
RM522,27,26-35,Travel_Frequently,Sales,1,Medical,1,714,4,Female,4,2,Sales Executive,4,Divorced,Y,2,80,3
RM531,27,26-35,Travel_Rarely,Research & Development,2,Life Sciences,1,725,3,Female,3,3,Manufacturing Director,1,Married,Y,4,80,3
RM538,27,26-35,Travel_Frequently,Research & Development,2,Life Sciences,1,733,4,Male,3,3,Manufacturing Director,1,Divorced,Y,3,80,2
RM555,27,26-35,Travel_Rarely,Research & Development,3,Medical,1,764,4,Female,2,2,Healthcare Representative,1,Single,Y,1,80,1
RM577,27,26-35,Travel_Frequently,Sales,1,Marketing,1,800,3,Male,3,2,Sales Executive,4,Married,Y,2,80,3
RM611,27,26-35,Travel_Rarely,Research & Development,1,Technical Degree,1,844,3,Male,2,3,Research Director,4,Divorced,Y,2,80,3
RM616,27,26-35,Non-Travel,Research & Development,3,Medical,1,850,4,Male,3,1,Research Scientist,4,Married,Y,3,80,2
RM671,27,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,933,2,Female,3,1,Research Scientist,3,Single,Y,3,80,3
RM718,27,26-35,Travel_Rarely,Research & Development,4,Technical Degree,1,1001,3,Female,3,1,Laboratory Technician,2,Married,Y,2,80,3
RM740,27,26-35,Travel_Rarely,Research & Development,4,Life Sciences,1,1027,1,Female,3,2,Manufacturing Director,4,Married,Y,2,80,3
RM787,27,26-35,Non-Travel,Research & Development,5,Life Sciences,1,1094,1,Male,1,1,Laboratory Technician,3,Married,Y,4,80,3
RM834,27,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,1162,4,Male,2,1,Research Scientist,3,Married,Y,3,80,3
RM890,27,26-35,Travel_Rarely,Research & Development,3,Life Sciences,1,1244,1,Male,3,1,Research Scientist,1,Married,Y,4,80,2
RM903,27,26-35,Travel_Rarely,Research & Development,2,Life Sciences,1,1259,1,Male,3,1,Research Scientist,3,Divorced,Y,2,80,3
RM971,27,26-35,Travel_Rarely,Sales,3,Medical,1,1364,3,Female,4,1,Sales Representative,4,Married,Y,2,80,3
RM975,27,26-35,Travel_Frequently,Sales,1,Life Sciences,1,1371,4,Male,1,2,Sales Executive,4,Single,Y,2,80,3
RM997,27,26-35,Travel_Rarely,Sales,3,Marketing,1,1403,4,Female,2,2,Sales Executive,4,Married,Y,4,80,3
RM998,27,26-35,Travel_Rarely,Research & Development,4,Life Sciences,1,1405,4,Female,3,1,Research Scientist,3,Single,Y,4,80,3
RM1018,27,26-35,Travel_Rarely,Research & Development,1,Life Sciences,1,1434,2,Male,3,1,Laboratory Technician,1,Married,Y,2,80,4
RM1150,27,26-35,Travel_Rarely,Research & Development,3,Other,1,1619,4,Male,2,1,Laboratory Technician,1,Divorced,Y,1,80,3
RM1170,27,26-35,Travel_Rarely,Research & Development,3,Medical,1,1647,2,Female,4,1,Research Scientist,3,Married,Y,1,80,3
RM1171,27,26-35,Travel_Frequently,Research & Development,3,Medical,1,1648,4,Male,3,1,Research Scientist,4,Single,Y,3,80,2
RM1249,27,26-35,Travel_Rarely,Research & Development,3,Medical,1,1751,3,Female,3,1,Research Scientist,4,Single,Y,3,80,2
